,Food,Food,Food,Beverage,Beverage,Beverage,Occupation,Occupation,Occupation,Sports,Sports,Sports,Favourite Color,Favourite Color,Favourite Color,Personality,Personality,Personality,Movie Genre,Movie Genre,Movie Genre,Household chore,Household chore,Household chore,Decoration,Decoration,Decoration,Clothing,Clothing,Clothing,Toys,Toys,Toys,Favourite TV Show,Favourite TV Show,Favourite TV Show,Favourite Music,Favourite Music,Favourite Music,Hobby,Hobby,Hobby,Health Condition,Health Condition,Health Condition,Favourite Movie,Favourite Movie,Favourite Movie,Shopping Preferences,Shopping Preferences,Shopping Preferences,Favourite Magazine,Favourite Magazine,Favourite Magazine,Car,Car,Car,Height,Height,Height,Halloween Costume,Halloween Costume,Halloween Costume
29,,,,,,,logger,cook,,,,,,,,,modest,,,,,,,,steering wheel,,,lungi,tube top,moccasins,,,,,,,,,,metalworking,,,,,,,,,rc car,scented body lotion,,,,,,,,,,,joker,little red riding hood,skeleton
30,,,,,,,conductor,,,,,,,,,,,,,,,,,,superhero,,,battledress,pinafore,beret,,,,,,,,,,hunting,,,,,,,,,dash cam,home decor,,,,,,,,,,,james bond,harley quinn,pikachu
31,,,,,,,chef,,,,,,,,,,,,,,,,,,framed jersey,,,tweed jacket,gown,flip-flops,,,,,,,,,,leatherworking,,,,,,,,,protein powder,scrunchie,,,,,,,,,,,viking,queen,kangaroo
32,,,,,,,train engineer,,,,,,,,,,,,,,,,,,cogs and gears,,,breeches,kitten heels,bib,,,,,,,,,,gold prospecting,,,,,,,,,car accessories,lipstick,,,,,,,,,,,yeti,unicorn,pumpkin
33,,,,,,,hunter,,,,,,,,,,,,,,,,,,,,,tuxedo,empire waist dress,tshirt,,,,,,,,,,,,,,,,,,,tactical gear,nail polish,,,,,,,,,,,cowboy,velma,egg
34,,,,,,,security guard,,,,,,,,,,,,,,,,,,,,,cravat,capris,apparel,,,,,,,,,,,,,,,,,,,playstation,earrings,,,,,,,,,,,wizard,mermaid,jellyfish
35,,,,,,,oil rig worker,,,,,,,,,,,,,,,,,,,,,kilt,halter top,tam,,,,,,,,,,,,,,,,,,,outdoor gear,personal care,,,,,,,,,,,hobbit,mary sanderson,dalmatian puppy
36,,,,,,,sailor,,,,,,,,,,,,,,,,,,,,,ascot tie,hosiery,bandanna,,,,,,,,,,,,,,,,,,,air compressor,manicure set,,,,,,,,,,,samurai,ladybug,pea in a pod
37,,,,,,,sheriff,,,,,,,,,,,,,,,,,,,,,cowboy boots,miniskirt,sneakers,,,,,,,,,,,,,,,,,,,power tool,eyeliner,,,,,,,,,,,wolfman,witch,sushi roll
38,,,,,,,farmer,,,,,,,,,,,,,,,,,,,,,utility vest,tights,denim jacket,,,,,,,,,,,,,,,,,,,car cleaning kits,yoga mat,,,,,,,,,,,lumberjack,mrs incredible,leprechaun
39,,,,,,,surveyor,,,,,,,,,,,,,,,,,,,,,agbada,crop top,beanie,,,,,,,,,,,,,,,,,,,,crafts,,,,,,,,,,,robot,,octopus
40,,,,,,,soldier,,,,,,,,,,,,,,,,,,,,,suit,maxi,jeans,,,,,,,,,,,,,,,,,,,,skincare product,,,,,,,,,,,king arthur,,fruit
41,,,,,,,diver,,,,,,,,,,,,,,,,,,,,,bermuda shorts,sari,baseball cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the wizard of oz,,teddy bear
42,,,,,,,bouncer,,,,,,,,,,,,,,,,,,,,,coverall,tutu,belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soldier,,alien
43,,,,,,,mechanic,,,,,,,,,,,,,,,,,,,,,,stole,button-down shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheriff,,elf
44,,,,,,,detective,,,,,,,,,,,,,,,,,,,,,,frock,trunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woody,,lego brick
45,,,,,,,sound technician,,,,,,,,,,,,,,,,,,,,,,bonnet,hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prince,,shark
46,,,,,,,dock worker,,,,,,,,,,,,,,,,,,,,,,ball gown,coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pirate,,
47,,,,,,,postmaster,,,,,,,,,,,,,,,,,,,,,,a-line dress,scarf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viking warrior,,
48,,,,,,,blacksmith,,,,,,,,,,,,,,,,,,,,,,tutu skirt,apron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boxer,,
49,,,,,,,doctor,,,,,,,,,,,,,,,,,,,,,,saree,long underwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,superman,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrap dress,raincoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spartan warrior,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sequined dress,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,king,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,babydoll nightgown,cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leggings,cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camisole,clogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip dress,outerwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peplum tops,scrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardigan,socks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,culottes,tank top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nightie,jogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lingerie,threads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brassiere,crown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dress,garb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purse,caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stockings,bedclothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fur coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,petticoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sundress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pencil skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
